,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
127,"Come Over (feat. Anne-Marie & Tion Wayne)",Rudimental,56077,https://open.spotify.com/track/4eVU4U063iMLFJFXb9kzkb
128,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",55759,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
129,"3 Nights","Dominic Fike",55491,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
130,"Beautiful People (feat. Khalid)","Ed Sheeran",55476,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
131,"When I Look At You","Miley Cyrus",55457,https://open.spotify.com/track/6ZfXA2xakAvphXOSOJ3u1W
132,"Jocelyn Flores",XXXTENTACION,55285,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
133,"On Deck","Abra Cadabra",55181,https://open.spotify.com/track/34YkG2pMNOldalZtevHztN
134,Both,"Headie One",55092,https://open.spotify.com/track/0SxjNrhMwarsbcgEy0pavJ
135,"What You Know Bout Love","Pop Smoke",55012,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
136,"SICKO MODE","Travis Scott",55006,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
137,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",54984,https://open.spotify.com/track/2rFsFjq0D9JAmc0APpCO6P
138,"Stunnin' (feat. Harm Franklin)","Curtis Waters",54707,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
139,ROXANNE,"Arizona Zervas",54509,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
140,F.N,"Lil Tjay",54226,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
141,"On Deck (Remix) [feat. Rv, Kush, Double Lz, Bandokay, Lowkey OFB & Dezzie]","Abra Cadabra",54105,https://open.spotify.com/track/1NOyhp2FTTRQ3kEyaPANRO
142,"Don’t Change (feat. NorthSideBenji)",Nines,53988,https://open.spotify.com/track/1az81Qy5h6LTobM5QfhPfp
143,"I Don't Care (with Justin Bieber)","Ed Sheeran",53890,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
144,"Ride It",Regard,53820,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
145,"We Won","D-Block Europe",53760,https://open.spotify.com/track/1GpLHbaD73S3FZavoEmz0A
146,"the 1","Taylor Swift",53658,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8
147,Sorry,"Joel Corry",53351,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
148,"Say You Won't Let Go","James Arthur",53320,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
149,"Be Kind (with Halsey)",Marshmello,52870,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
150,Physical,"Dua Lipa",52870,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
151,21,"Polo G",52646,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
